    10  1.00000E+000  1.00000E+000  9.13055E-006
    20  2.00000E+000  1.00000E+000  8.72079E-006
    30  3.00000E+000  1.00000E+000  8.33709E-006
    40  4.00000E+000  1.00000E+000  7.97819E-006
    50  5.00000E+000  1.00000E+000  7.64254E-006
    60  6.00000E+000  1.00000E+000  7.32836E-006
    70  7.00000E+000  1.00000E+000  7.03450E-006
    80  8.00000E+000  1.00000E+000  6.76013E-006
    90  9.00000E+000  1.00000E+000  6.50379E-006
   100  1.00000E+001  1.00000E+000  6.26397E-006
   110  1.10000E+001  1.00000E+000  6.03935E-006
   120  1.20000E+001  1.00000E+000  5.82883E-006
   130  1.30000E+001  1.00000E+000  5.63138E-006
   140  1.40000E+001  1.00000E+000  5.44595E-006
   150  1.50000E+001  1.00000E+000  5.27163E-006
   160  1.60000E+001  1.00000E+000  5.10772E-006
   170  1.70000E+001  1.00000E+000  4.95349E-006
   180  1.80000E+001  1.00000E+000  4.80831E-006
   190  1.90000E+001  1.00000E+000  4.67150E-006
   200  2.00000E+001  1.00000E+000  4.54253E-006
   210  2.10000E+001  1.00000E+000  4.42084E-006
   220  2.20000E+001  1.00000E+000  4.30594E-006
   230  2.30000E+001  1.00000E+000  4.19745E-006
   240  2.40000E+001  1.00000E+000  4.09500E-006
   250  2.50000E+001  1.00000E+000  3.99817E-006
   260  2.60000E+001  1.00000E+000  3.90657E-006
   270  2.70000E+001  1.00000E+000  3.81983E-006
   280  2.80000E+001  1.00000E+000  3.73763E-006
   290  2.90000E+001  1.00000E+000  3.65967E-006
   300  3.00000E+001  1.00000E+000  3.58565E-006
   310  3.10000E+001  1.00000E+000  3.51531E-006
   320  3.20000E+001  1.00000E+000  3.44841E-006
   330  3.30000E+001  1.00000E+000  3.38474E-006
   340  3.40000E+001  1.00000E+000  3.32411E-006
   350  3.50000E+001  1.00000E+000  3.26639E-006
   360  3.60000E+001  1.00000E+000  3.21142E-006
   370  3.70000E+001  1.00000E+000  3.15904E-006
   380  3.80000E+001  1.00000E+000  3.10907E-006
   390  3.90000E+001  1.00000E+000  3.06141E-006
   400  4.00000E+001  1.00000E+000  3.01593E-006
   410  4.10000E+001  1.00000E+000  2.97253E-006
   420  4.20000E+001  1.00000E+000  2.93109E-006
   430  4.30000E+001  1.00000E+000  2.89152E-006
   440  4.40000E+001  1.00000E+000  2.85374E-006
   450  4.50000E+001  1.00000E+000  2.81766E-006
   460  4.60000E+001  1.00000E+000  2.78317E-006
   470  4.70000E+001  1.00000E+000  2.75022E-006
   480  4.80000E+001  1.00000E+000  2.71870E-006
   490  4.90000E+001  1.00000E+000  2.68855E-006
   500  5.00000E+001  1.00000E+000  2.65968E-006
   510  5.10000E+001  1.00000E+000  2.63206E-006
   520  5.20000E+001  1.00000E+000  2.60562E-006
   530  5.30000E+001  1.00000E+000  2.58032E-006
   540  5.40000E+001  1.00000E+000  2.55608E-006
   550  5.50000E+001  1.00000E+000  2.53288E-006
   560  5.60000E+001  1.00000E+000  2.51064E-006
   570  5.70000E+001  1.00000E+000  2.48933E-006
   580  5.80000E+001  1.00000E+000  2.46890E-006
   590  5.90000E+001  1.00000E+000  2.44932E-006
   600  6.00000E+001  1.00000E+000  2.43055E-006
   610  6.10000E+001  1.00000E+000  2.41256E-006
   620  6.20000E+001  1.00000E+000  2.39532E-006
   630  6.30000E+001  1.00000E+000  2.37879E-006
   640  6.40000E+001  1.00000E+000  2.36295E-006
   650  6.50000E+001  1.00000E+000  2.34778E-006
   660  6.60000E+001  1.00000E+000  2.33325E-006
   670  6.70000E+001  1.00000E+000  2.31934E-006
   680  6.80000E+001  1.00000E+000  2.30603E-006
   690  6.90000E+001  1.00000E+000  2.29332E-006
   700  7.00000E+001  1.00000E+000  2.28118E-006
   710  7.10000E+001  1.00000E+000  2.26959E-006
   720  7.20000E+001  1.00000E+000  2.25855E-006
   730  7.30000E+001  1.00000E+000  2.24804E-006
   740  7.40000E+001  1.00000E+000  2.23802E-006
   750  7.50000E+001  1.00000E+000  2.22849E-006
   760  7.60000E+001  1.00000E+000  2.21942E-006
   770  7.70000E+001  1.00000E+000  2.21080E-006
   780  7.80000E+001  1.00000E+000  2.20263E-006
   790  7.90000E+001  1.00000E+000  2.19489E-006
   800  8.00000E+001  1.00000E+000  2.18757E-006
   810  8.10000E+001  1.00000E+000  2.18066E-006
   820  8.20000E+001  1.00000E+000  2.17417E-006
   830  8.30000E+001  1.00000E+000  2.16807E-006
   840  8.40000E+001  1.00000E+000  2.16237E-006
   850  8.50000E+001  1.00000E+000  2.15705E-006
   860  8.60000E+001  1.00000E+000  2.15210E-006
   870  8.70000E+001  1.00000E+000  2.14752E-006
   880  8.80000E+001  1.00000E+000  2.14330E-006
   890  8.90000E+001  1.00000E+000  2.13941E-006
   900  9.00000E+001  1.00000E+000  2.13587E-006
   910  9.10000E+001  1.00000E+000  2.13265E-006
   920  9.20000E+001  1.00000E+000  2.12976E-006
   930  9.30000E+001  1.00000E+000  2.12718E-006
   940  9.40000E+001  1.00000E+000  2.12492E-006
   950  9.50000E+001  1.00000E+000  2.12296E-006
   960  9.60000E+001  1.00000E+000  2.12132E-006
   970  9.70000E+001  1.00000E+000  2.11999E-006
   980  9.80000E+001  1.00000E+000  2.11896E-006
   990  9.90000E+001  1.00000E+000  2.11824E-006
  1000  1.00000E+002  1.00000E+000  2.11782E-006
  1010  1.01000E+002  1.00000E+000  2.11769E-006
  1020  1.02000E+002  1.00000E+000  2.11787E-006
  1030  1.03000E+002  1.00000E+000  2.11835E-006
