   721853.     -0.148643E+07 0.0 0.0   142.120    
  721750.     -0.148648E+07 0.0 0.0   142.129    
  721647.     -0.148654E+07 0.0 0.0   142.139    
  721544.     -0.148659E+07 0.0 0.0   142.149    
  721442.     -0.148664E+07 0.0 0.0   142.159    
  721339.     -0.148669E+07 0.0 0.0   142.169    
  721236.     -0.148674E+07 0.0 0.0   142.179    
  721134.     -0.148679E+07 0.0 0.0   142.189    
  721031.     -0.148685E+07 0.0 0.0   142.199    
  720928.     -0.148690E+07 0.0 0.0   142.209    
  720826.     -0.148695E+07 0.0 0.0   142.218    
  720723.     -0.148700E+07 0.0 0.0   142.228    
  720620.     -0.148705E+07 0.0 0.0   142.238    
  720518.     -0.148711E+07 0.0 0.0   142.248    
  720415.     -0.148716E+07 0.0 0.0   142.258    
  720312.     -0.148721E+07 0.0 0.0   142.268    
  720210.     -0.148726E+07 0.0 0.0   142.278    
  720107.     -0.148731E+07 0.0 0.0   142.288    
  720004.     -0.148736E+07 0.0 0.0   142.298    
  719902.     -0.148742E+07 0.0 0.0   142.307    
  719799.     -0.148747E+07 0.0 0.0   142.317    
  719696.     -0.148752E+07 0.0 0.0   142.327    
  719594.     -0.148757E+07 0.0 0.0   142.337    
  719491.     -0.148762E+07 0.0 0.0   142.347    
  719388.     -0.148767E+07 0.0 0.0   142.357    
  719285.     -0.148773E+07 0.0 0.0   142.367    
  719213.     -0.148782E+07 0.0 0.0   142.377    
  719184.     -0.148793E+07 0.0 0.0   142.387    
  719144.     -0.148804E+07 0.0 0.0   142.396    
  719101.     -0.148814E+07 0.0 0.0   142.406    
  719055.     -0.148825E+07 0.0 0.0   142.416    
  718993.     -0.148834E+07 0.0 0.0   142.426    
  718905.     -0.148842E+07 0.0 0.0   142.436    
  718798.     -0.148846E+07 0.0 0.0   142.446    
  718683.     -0.148847E+07 0.0 0.0   142.456    
  718575.     -0.148843E+07 0.0 0.0   142.466    
  718489.     -0.148835E+07 0.0 0.0   142.476    
  718431.     -0.148825E+07 0.0 0.0   142.485    
  718400.     -0.148814E+07 0.0 0.0   142.495    
  718394.     -0.148802E+07 0.0 0.0   142.505    
  718395.     -0.148791E+07 0.0 0.0   142.515    
  718394.     -0.148779E+07 0.0 0.0   142.525    
  718408.     -0.148768E+07 0.0 0.0   142.535    
  718441.     -0.148757E+07 0.0 0.0   142.545    
  718471.     -0.148746E+07 0.0 0.0   142.555    
  718500.     -0.148735E+07 0.0 0.0   142.565    
  718529.     -0.148724E+07 0.0 0.0   142.574    
  718548.     -0.148712E+07 0.0 0.0   142.584    
  718568.     -0.148701E+07 0.0 0.0   142.594    
  718597.     -0.148690E+07 0.0 0.0   142.604    
  718632.     -0.148679E+07 0.0 0.0   142.614    
  718663.     -0.148668E+07 0.0 0.0   142.624    
  718676.     -0.148656E+07 0.0 0.0   142.634    
  718666.     -0.148645E+07 0.0 0.0   142.644    
  718644.     -0.148634E+07 0.0 0.0   142.654    
  718615.     -0.148623E+07 0.0 0.0   142.664    
  718554.     -0.148613E+07 0.0 0.0   142.673    
  718480.     -0.148604E+07 0.0 0.0   142.683    
  718407.     -0.148595E+07 0.0 0.0   142.693    
  718335.     -0.148586E+07 0.0 0.0   142.703    
  718268.     -0.148577E+07 0.0 0.0   142.713    
  718211.     -0.148567E+07 0.0 0.0   142.723    
  718160.     -0.148557E+07 0.0 0.0   142.733    
  718112.     -0.148546E+07 0.0 0.0   142.743    
  718068.     -0.148535E+07 0.0 0.0   142.753    
  718021.     -0.148525E+07 0.0 0.0   142.762    
  717974.     -0.148514E+07 0.0 0.0   142.772    
  717921.     -0.148504E+07 0.0 0.0   142.782    
  717851.     -0.148495E+07 0.0 0.0   142.792    
  717740.     -0.148492E+07 0.0 0.0   142.802    
  717674.     -0.148501E+07 0.0 0.0   142.812    
  717675.     -0.148513E+07 0.0 0.0   142.822    
  717696.     -0.148524E+07 0.0 0.0   142.832    
  717708.     -0.148536E+07 0.0 0.0   142.841    
  717697.     -0.148547E+07 0.0 0.0   142.851    
  717635.     -0.148557E+07 0.0 0.0   142.861    
  717536.     -0.148563E+07 0.0 0.0   142.871    
  717423.     -0.148565E+07 0.0 0.0   142.881    
  717308.     -0.148565E+07 0.0 0.0   142.891    
  717195.     -0.148563E+07 0.0 0.0   142.901    
  717088.     -0.148558E+07 0.0 0.0   142.911    
  716980.     -0.148554E+07 0.0 0.0   142.921    
  716869.     -0.148552E+07 0.0 0.0   142.930    
  716757.     -0.148549E+07 0.0 0.0   142.940    
  716650.     -0.148545E+07 0.0 0.0   142.950    
  716575.     -0.148536E+07 0.0 0.0   142.960    
  716556.     -0.148525E+07 0.0 0.0   142.970    
  716545.     -0.148513E+07 0.0 0.0   142.980    
  716507.     -0.148502E+07 0.0 0.0   142.990    
  716451.     -0.148492E+07 0.0 0.0   143.000    
  716364.     -0.148485E+07 0.0 0.0   143.010    
  716258.     -0.148480E+07 0.0 0.0   143.019    
  716149.     -0.148477E+07 0.0 0.0   143.029    
  716039.     -0.148473E+07 0.0 0.0   143.039    
  715935.     -0.148468E+07 0.0 0.0   143.049    
  715840.     -0.148462E+07 0.0 0.0   143.059    
  715751.     -0.148455E+07 0.0 0.0   143.069    
  715676.     -0.148446E+07 0.0 0.0   143.079    
  715612.     -0.148436E+07 0.0 0.0   143.089    
  715550.     -0.148427E+07 0.0 0.0   143.099    
  715482.     -0.148417E+07 0.0 0.0   143.108    
  715413.     -0.148408E+07 0.0 0.0   143.118    
  715333.     -0.148400E+07 0.0 0.0   143.128    
  715241.     -0.148393E+07 0.0 0.0   143.138    
  715143.     -0.148387E+07 0.0 0.0   143.148    
  715038.     -0.148382E+07 0.0 0.0   143.158    
  714933.     -0.148378E+07 0.0 0.0   143.168    
  714834.     -0.148372E+07 0.0 0.0   143.178    
  714741.     -0.148365E+07 0.0 0.0   143.188    
  714650.     -0.148358E+07 0.0 0.0   143.197    
  714558.     -0.148351E+07 0.0 0.0   143.207    
  714461.     -0.148345E+07 0.0 0.0   143.217    
  714358.     -0.148340E+07 0.0 0.0   143.227    
  714246.     -0.148337E+07 0.0 0.0   143.237    
  714132.     -0.148336E+07 0.0 0.0   143.247    
  714017.     -0.148336E+07 0.0 0.0   143.257    
  713904.     -0.148338E+07 0.0 0.0   143.267    
  713807.     -0.148344E+07 0.0 0.0   143.277    
  713740.     -0.148354E+07 0.0 0.0   143.286    
  713705.     -0.148365E+07 0.0 0.0   143.296    
  713717.     -0.148376E+07 0.0 0.0   143.306    
  713759.     -0.148387E+07 0.0 0.0   143.316    
  713819.     -0.148397E+07 0.0 0.0   143.326    
  713871.     -0.148407E+07 0.0 0.0   143.336    
  713896.     -0.148418E+07 0.0 0.0   143.346    
  713883.     -0.148429E+07 0.0 0.0   143.356    
  713847.     -0.148440E+07 0.0 0.0   143.366    
  713783.     -0.148450E+07 0.0 0.0   143.375    
  713706.     -0.148458E+07 0.0 0.0   143.385    
  713623.     -0.148466E+07 0.0 0.0   143.395    
  713528.     -0.148473E+07 0.0 0.0   143.405    
  713421.     -0.148477E+07 0.0 0.0   143.415    
  713309.     -0.148480E+07 0.0 0.0   143.425    
  713196.     -0.148482E+07 0.0 0.0   143.435    
  713081.     -0.148480E+07 0.0 0.0   143.445    
  712972.     -0.148477E+07 0.0 0.0   143.455    
  712863.     -0.148473E+07 0.0 0.0   143.465    
  712764.     -0.148467E+07 0.0 0.0   143.474    
  712717.     -0.148457E+07 0.0 0.0   143.484    
  712739.     -0.148446E+07 0.0 0.0   143.494    
  712806.     -0.148436E+07 0.0 0.0   143.504    
  712901.     -0.148430E+07 0.0 0.0   143.514    
  713004.     -0.148425E+07 0.0 0.0   143.524    
  713110.     -0.148420E+07 0.0 0.0   143.534    
  713212.     -0.148415E+07 0.0 0.0   143.544    
  713295.     -0.148407E+07 0.0 0.0   143.553    
  713335.     -0.148396E+07 0.0 0.0   143.563    
  713323.     -0.148385E+07 0.0 0.0   143.573    
  713268.     -0.148375E+07 0.0 0.0   143.583    
  713187.     -0.148366E+07 0.0 0.0   143.593    
  713090.     -0.148360E+07 0.0 0.0   143.603    
  712984.     -0.148356E+07 0.0 0.0   143.613    
  712872.     -0.148353E+07 0.0 0.0   143.623    
  712757.     -0.148353E+07 0.0 0.0   143.633    
  712642.     -0.148354E+07 0.0 0.0   143.642    
  712528.     -0.148356E+07 0.0 0.0   143.652    
  712413.     -0.148355E+07 0.0 0.0   143.662    
  712304.     -0.148352E+07 0.0 0.0   143.672    
  712210.     -0.148345E+07 0.0 0.0   143.682    
  712129.     -0.148337E+07 0.0 0.0   143.692    
  712045.     -0.148329E+07 0.0 0.0   143.702    
  711947.     -0.148323E+07 0.0 0.0   143.712    
  711832.     -0.148322E+07 0.0 0.0   143.722    
  711732.     -0.148328E+07 0.0 0.0   143.731    
  711662.     -0.148337E+07 0.0 0.0   143.741    
  711598.     -0.148346E+07 0.0 0.0   143.751    
  711511.     -0.148354E+07 0.0 0.0   143.761    
  711396.     -0.148355E+07 0.0 0.0   143.771    
  711290.     -0.148351E+07 0.0 0.0   143.781    
  711190.     -0.148345E+07 0.0 0.0   143.791    
  711083.     -0.148341E+07 0.0 0.0   143.801    
  710968.     -0.148340E+07 0.0 0.0   143.811    
  710859.     -0.148343E+07 0.0 0.0   143.820    
  710774.     -0.148351E+07 0.0 0.0   143.830    
  710701.     -0.148360E+07 0.0 0.0   143.840    
  710628.     -0.148369E+07 0.0 0.0   143.850    
  710549.     -0.148377E+07 0.0 0.0   143.860    
  710462.     -0.148384E+07 0.0 0.0   143.870    
  710366.     -0.148391E+07 0.0 0.0   143.880    
  710262.     -0.148396E+07 0.0 0.0   143.890    
  710150.     -0.148399E+07 0.0 0.0   143.900    
  710036.     -0.148400E+07 0.0 0.0   143.909    
  709922.     -0.148401E+07 0.0 0.0   143.919    
  709809.     -0.148403E+07 0.0 0.0   143.929    
  709700.     -0.148407E+07 0.0 0.0   143.939    
  709596.     -0.148412E+07 0.0 0.0   143.949    
  709502.     -0.148419E+07 0.0 0.0   143.959    
  709415.     -0.148426E+07 0.0 0.0   143.969    
  709333.     -0.148434E+07 0.0 0.0   143.979    
  709251.     -0.148442E+07 0.0 0.0   143.989    
  709157.     -0.148449E+07 0.0 0.0   143.998    
  709045.     -0.148452E+07 0.0 0.0   144.008    
  708948.     -0.148445E+07 0.0 0.0   144.018    
  708899.     -0.148435E+07 0.0 0.0   144.028    
  708875.     -0.148424E+07 0.0 0.0   144.038    
  708855.     -0.148412E+07 0.0 0.0   144.048    
  708828.     -0.148401E+07 0.0 0.0   144.058    
  708786.     -0.148391E+07 0.0 0.0   144.068    
  708734.     -0.148380E+07 0.0 0.0   144.078    
  708687.     -0.148370E+07 0.0 0.0   144.087    
  708638.     -0.148359E+07 0.0 0.0   144.097    
  708568.     -0.148350E+07 0.0 0.0   144.107    
  708468.     -0.148345E+07 0.0 0.0   144.117    
  708354.     -0.148346E+07 0.0 0.0   144.127    
  708292.     -0.148356E+07 0.0 0.0   144.137    
  708270.     -0.148367E+07 0.0 0.0   144.147    
  708235.     -0.148378E+07 0.0 0.0   144.157    
  708177.     -0.148388E+07 0.0 0.0   144.167    
  708089.     -0.148395E+07 0.0 0.0   144.176    
  707975.     -0.148397E+07 0.0 0.0   144.186    
  707885.     -0.148390E+07 0.0 0.0   144.196    
  707828.     -0.148380E+07 0.0 0.0   144.206    
  707765.     -0.148370E+07 0.0 0.0   144.216    
  707682.     -0.148362E+07 0.0 0.0   144.226    
  707580.     -0.148357E+07 0.0 0.0   144.236    
  707465.     -0.148356E+07 0.0 0.0   144.246    
  707360.     -0.148361E+07 0.0 0.0   144.256    
  707303.     -0.148371E+07 0.0 0.0   144.265    
  707312.     -0.148383E+07 0.0 0.0   144.275    
  707341.     -0.148394E+07 0.0 0.0   144.285    
  707347.     -0.148405E+07 0.0 0.0   144.295    
  707324.     -0.148417E+07 0.0 0.0   144.305    
  707265.     -0.148426E+07 0.0 0.0   144.315    
  707175.     -0.148434E+07 0.0 0.0   144.325    
  707068.     -0.148438E+07 0.0 0.0   144.335    
  706954.     -0.148440E+07 0.0 0.0   144.345    
  706839.     -0.148440E+07 0.0 0.0   144.354    
  706725.     -0.148439E+07 0.0 0.0   144.364    
  706614.     -0.148436E+07 0.0 0.0   144.374    
  706511.     -0.148431E+07 0.0 0.0   144.384    
  706416.     -0.148424E+07 0.0 0.0   144.394    
  706329.     -0.148417E+07 0.0 0.0   144.404    
  706260.     -0.148408E+07 0.0 0.0   144.414    
  706205.     -0.148397E+07 0.0 0.0   144.424    
  706163.     -0.148387E+07 0.0 0.0   144.434    
  706125.     -0.148376E+07 0.0 0.0   144.443    
  706083.     -0.148365E+07 0.0 0.0   144.453    
  706031.     -0.148355E+07 0.0 0.0   144.463    
  705966.     -0.148346E+07 0.0 0.0   144.473    
  705884.     -0.148337E+07 0.0 0.0   144.483    
  705796.     -0.148330E+07 0.0 0.0   144.493    
  705702.     -0.148323E+07 0.0 0.0   144.503    
  705601.     -0.148318E+07 0.0 0.0   144.513    
  705495.     -0.148314E+07 0.0 0.0   144.523    
  705384.     -0.148311E+07 0.0 0.0   144.532    
  705270.     -0.148309E+07 0.0 0.0   144.542    
  705156.     -0.148307E+07 0.0 0.0   144.552    
  705041.     -0.148307E+07 0.0 0.0   144.562    
  704926.     -0.148306E+07 0.0 0.0   144.572    
  704812.     -0.148305E+07 0.0 0.0   144.582    
  704697.     -0.148306E+07 0.0 0.0   144.592    
  704586.     -0.148309E+07 0.0 0.0   144.602    
  704486.     -0.148314E+07 0.0 0.0   144.612    
  704400.     -0.148322E+07 0.0 0.0   144.621    
  704335.     -0.148332E+07 0.0 0.0   144.631    
  704328.     -0.148343E+07 0.0 0.0   144.641    
  704412.     -0.148351E+07 0.0 0.0   144.651    
  704512.     -0.148357E+07 0.0 0.0   144.661    
  704616.     -0.148361E+07 0.0 0.0   144.671    
  704722.     -0.148366E+07 0.0 0.0   144.681    
  704825.     -0.148371E+07 0.0 0.0   144.691    
  704922.     -0.148377E+07 0.0 0.0   144.701    
  705012.     -0.148384E+07 0.0 0.0   144.710    
  705090.     -0.148393E+07 0.0 0.0   144.720    
  705164.     -0.148402E+07 0.0 0.0   144.730    
  705224.     -0.148411E+07 0.0 0.0   144.740    
