140000

    0       -10.00       0
    1       -10.00    1773
    2        -8.00     337
    3        -6.00     539
    4        -4.00     679
    5        -2.00     613
    6         0.00     716
    7         2.00     912
    8         4.00     977
    9         6.00    1314
   10         8.00    1504
   11        10.00    1966
   12        12.00    2629
   13        14.00    4082
   14        16.00    8572
   15        18.00       0
   16        20.00  113387
   17        22.00       0
   18        24.00       0
   19        26.00       0
   20        28.00       0

    1         0.00    1652       -9.836
    2       250.00     217       -6.633
    3       500.00     227       -4.533
    4       750.00     220       -2.656
    5      1000.00     215       -0.903
    6      1250.00     213        0.551
    7      1500.00     196        1.867
    8      1750.00     243        1.555
    9      2000.00     320        0.329
   10      2250.00     218        3.972
   11      2500.00     185        5.096
   12      2750.00     206        6.085
   13      3000.00     365        0.706
   14      3250.00     215        6.297
   15      3500.00     172        6.972
   16      3750.00     188        8.114
   17      4000.00     246        6.398
   18      4250.00     207        8.454
   19      4500.00     228        5.347
   20      4750.00  134267       18.964

    1         0.00    1298        0.000      -10.000
    2         1.00    3574    14863.889        8.710
    3         2.00    2493    19175.519       13.003
    4         3.00    2401    21582.574       14.140
    5         4.00    3095    24050.407       14.867
    6         5.00    1928    26902.012       15.291
    7         6.00    2008    28838.098       15.230
    8         7.00    1490    31078.664       15.069
    9         8.00    1554    32767.201       15.236
   10         9.00    1664    33772.224       15.363
   11        10.00    1263    34732.637       15.423
   12        11.00    1459    35217.663       15.455
   13        12.00    1242    36425.233       15.943
   14        13.00    1510    36885.272       16.006
   15        14.00    1304    37984.709       16.258
   16        15.00    1196    38336.982       16.279
   17        16.00    1487    38794.412       16.345
   18        17.00    1357    39104.842       16.401
   19        18.00    1338    39728.146       16.461
   20        19.00    1252    40460.823       16.648
   21        20.00     755    41207.523       17.013
   22        21.00     926    42361.102       17.332
   23        22.00     547    42788.154       17.557
   24        23.00     541    43187.043       17.529
   25        24.00     395    43695.797       17.632
   26        25.00     479    45308.539       18.435
   27        26.00     198    45886.212       18.430
   28        27.00     170    46084.294       18.391
   29        28.00       0        0.000        0.000
   30        29.00       0        0.000        0.000
   31        30.00  101076    49178.930       19.696
